GeneID,GeneName,log2FC,P.Value,adj.P.Value
ENSG00000106246,PTCD1,0.28797517,0.535982995,0.84628673
ENSG00000106258,CYP3A5,-1.191276457,0.127669103,0.37906611
ENSG00000106261,ZKSCAN1,0.404456419,0.368772202,0.661023029
ENSG00000106263,EIF3B,0.321610315,0.398023853,0.697484476
ENSG00000106266,SNX8,-0.222410706,0.577557621,0.888636647
ENSG00000106268,NUDT1,0.692518526,0.233372492,0.53144083
ENSG00000106278,PTPRZ1,2.05442953,0.125955706,0.37906611
ENSG00000106290,TAF6,0.247113881,0.599105426,0.910467436
ENSG00000106299,WASL,0.085639245,0.808565324,1
ENSG00000106302,HYAL4,-0.811090241,0.533267432,0.843694946
ENSG00000106304,SPAM1,-1.812993988,0.077815269,0.28749013
ENSG00000106305,AIMP2,0.485890234,0.3013988,0.574320394
ENSG00000106327,TFR2,2.400252697,0.004832351,0.107329707
ENSG00000106328,FSCN3,-0.507434824,0.631818795,0.942074159
ENSG00000106330,MOSPD3,-0.070586424,0.891894456,1
ENSG00000106331,PAX4,1.245884891,0.291237781,0.560967329
ENSG00000106333,PCOLCE,0.307534198,0.620930271,0.932226251
ENSG00000106336,FBXO24,0.449717392,0.482534638,0.78974814
ENSG00000106341,PPP1R17,-0.457907773,0.699044431,1
ENSG00000106344,RBM28,0.805655522,0.030063989,0.200569186
ENSG00000106346,USP42,0.310448382,0.409884829,0.710854885
ENSG00000106348,IMPDH1,-0.242972502,0.637836819,0.947939267
ENSG00000106351,AGFG2,-0.579092211,0.142115813,0.390619891
ENSG00000106355,LSM5,0.824618867,0.045673291,0.230013624
ENSG00000106366,SERPINE1,-0.692527586,0.447982479,0.755144068
ENSG00000106367,AP1S1,1.216407781,0.04725392,0.233558784
ENSG00000106384,MOGAT3,5.274739791,0.015110911,0.161116965
ENSG00000106392,C1GALT1,0.780275915,0.107797156,0.345791321
ENSG00000106397,PLOD3,0.042359352,0.936333747,1
ENSG00000106399,RPA3,0.958527903,0.053227116,0.245123501
ENSG00000106400,ZNHIT1,0.922406692,0.158835025,0.421740148
ENSG00000106404,CLDN15,0.631004222,0.223109292,0.51520767
ENSG00000106410,NOBOX,1.331822878,0.291237787,0.560967329
ENSG00000106415,GLCCI1,0.919357574,0.184266425,0.463952491
ENSG00000106436,MYL10,0.890088819,0.460477772,0.765391826
ENSG00000106443,PHF14,0.621133133,0.093763844,0.31666698
ENSG00000106459,NRF1,-0.287886205,0.385473282,0.68215093
ENSG00000106460,TMEM106B,0.955610449,0.066408808,0.271285786
ENSG00000106462,EZH2,3.151803655,4.72E-05,0.012492095
ENSG00000106477,CEP41,0.782342534,0.05296835,0.244444125
ENSG00000106479,ZNF862,0.529590885,0.228727087,0.524098363
ENSG00000106483,SFRP4,1.736686378,0.03403356,0.207866587
ENSG00000106484,MEST,1.260334517,0.027366888,0.194116509
ENSG00000106511,MEOX2,-1.633239908,0.012661025,0.152514792
ENSG00000106524,ANKMY2,-0.377776589,0.311552125,0.587595355
ENSG00000106526,ACTR3C,0.479551383,0.360816568,0.650974481
ENSG00000106536,POU6F2,1.658786966,0.160554331,0.424534739
ENSG00000106537,TSPAN13,-1.581243332,0.000838323,0.048015416
ENSG00000106538,RARRES2,-1.358989617,0.050819084,0.241434336
ENSG00000106541,AGR2,2.376050086,0.027901691,0.195362635
ENSG00000106546,AHR,0.942183618,0.239715093,0.541128741
ENSG00000106554,CHCHD3,-0.058261102,0.871348305,1
ENSG00000106560,GIMAP2,-0.914173827,0.078321689,0.287752526
ENSG00000106565,TMEM176B,1.180843455,0.121990013,0.375453476
ENSG00000106571,GLI3,-0.18178785,0.7756163,1
ENSG00000106588,PSMA2,0.52226609,0.263106476,0.560967329
ENSG00000106591,MRPL32,0.453719574,0.30363549,0.577229405
ENSG00000106603,COA1,0.870412353,0.030114508,0.200693494
ENSG00000106605,BLVRA,-0.774339022,0.105990087,0.342629527
ENSG00000106608,URGCP,-0.228542477,0.460371029,0.765391826
ENSG00000106609,TMEM248,-0.40068237,0.231481766,0.528448391
ENSG00000106610,STAG3L4,0.037410727,0.932318727,1
ENSG00000106615,RHEB,0.881064805,0.115880906,0.363170363
ENSG00000106617,PRKAG2,0.111612392,0.745111988,1
ENSG00000106624,AEBP1,0.393943978,0.550645235,0.861589274
ENSG00000106628,POLD2,0.488729392,0.253857286,0.560967329
ENSG00000106631,MYL7,1.275031702,0.282863056,0.560967329
ENSG00000106633,GCK,-0.518626209,0.489813991,0.797733247
ENSG00000106635,BCL7B,-0.695296167,0.099604363,0.32916461
ENSG00000106636,YKT6,0.170853294,0.679585689,0.987604494
ENSG00000106638,TBL2,0.349055645,0.396189512,0.695317594
ENSG00000106648,GALNTL5,2.900251455,0.025582185,0.189874501
ENSG00000106665,CLIP2,-0.118428148,0.819941667,1
ENSG00000106682,EIF4H,-0.602768082,0.120493805,0.372664493
ENSG00000106683,LIMK1,0.029346532,0.946051324,1
ENSG00000106686,SPATA6L,0.716050324,0.261897641,0.560967329
ENSG00000106688,SLC1A1,-3.349600422,4.99E-06,0.005027991
ENSG00000106689,LHX2,7.534857798,0.000169992,0.02173847
ENSG00000106692,FKTN,0.369819226,0.278745463,0.560967329
ENSG00000106701,FSD1L,1.047826607,0.111179338,0.353546789
ENSG00000106714,CNTNAP3,-0.427181167,0.584317781,0.895311476
ENSG00000106723,SPIN1,-0.474499546,0.147903654,0.401781123
ENSG00000106733,NMRK1,-0.252855416,0.525301638,0.835484879
ENSG00000106771,TMEM245,-1.1865663,0.002366959,0.079152963
ENSG00000106772,PRUNE2,0.871691711,0.286952876,0.560967329
ENSG00000106780,MEGF9,-1.317576422,0.007241845,0.125647881
ENSG00000106785,TRIM14,-0.50469085,0.166998361,0.436252835
ENSG00000106789,CORO2A,-0.372141964,0.431278565,0.736241079
ENSG00000106799,TGFBR1,-0.256082095,0.512638672,0.822154821
