# Feature1 Sys. Name	Feature1 Std. Name	Feature2 Sys. Name	Feature2 Std. Name	PE Score	Conf. Score	Direct Score	Indirect Score
YER016W	BIM1	YOR313C	SPS4	1.005428	0.056948	2.010857	0
YER145C	FTR1	YOR014W	RTS1	1.005428	0.056948	2.010857	0
YFL010C	WWM1	YGL171W	ROK1	1.005428	0.056948	2.010857	0
YJL042W	MHP1	YMR078C	CTF18	1.005428	0.056948	2.010857	0
YMR066W	SOV1	YPL061W	ALD6	1.005428	0.056948	2.010857	0
YNL103W	MET4	YOR209C	NPT1	1.005428	0.056948	2.010857	0
YOR173W	DCS2	YPL245W	YPL245W	1.005428	0.056948	2.010857	0
YKL180W	RPL17A	YMR061W	RNA14	1.00544	0.056949	0	0
YBR196C	PGI1	YHR020W	YHR020W	1.005503	0.056958	-0.309804	0
YBR031W	RPL4A	YBR079C	RPG1	1.005557	0.056965	-0.309804	1.241503
YDL065C	PEX19	YER148W	SPT15	1.005654	0.056978	2.011308	0
YDL076C	RXT3	YOL112W	MSB4	1.005654	0.056978	2.011308	0
YHR115C	DMA1	YPL198W	RPL7B	1.005654	0.056978	2.011308	0
YAL002W	VPS8	YIR006C	PAN1	1.005692	0.056983	1.767837	1.08398
YGR285C	ZUO1	YJL034W	KAR2	1.005728	0.056988	0	2.851888
YHR064C	SSZ1	YJL191W	RPS14B	1.00574	0.056989	-0.619608	0
YKL152C	GPM1	YOR151C	RPB2	1.005746	0.05699	-0.309804	0.184051
YHR099W	TRA1	YNL030W	HHF2	1.005755	0.056991	-0.619608	0
YLR380W	CSR1	YLR433C	CNA1	1.005779	0.056995	-0.619608	2.631166
YDR471W	RPL27B	YFR001W	LOC1	1.005783	0.056995	0	2.505352
YBL072C	RPS8A	YJR045C	SSC1	1.005804	0.056998	0	2.011608
YBL002W	HTB2	YHR141C	RPL42B	1.005846	0.057004	-1.858824	3.870515
YDR060W	MAK21	YLR340W	RPP0	1.005941	0.057016	-1.54902	1.375039
YDL045W-A	MRP10	YDR347W	MRP1	1.005962	0.057019	-0.309804	1.240081
YER165W	PAB1	YLR344W	RPL26A	1.005973	0.05702	-0.619608	1.653869
YBL090W	MRP21	YIL095W	PRK1	1.005981	0.057021	-0.309804	3.162198
YLR272C	YCS4	YMR012W	CLU1	1.005981	0.057021	-0.309804	3.162198
YKL060C	FBA1	YLR355C	ILV5	1.005984	0.057021	-1.239216	1.133167
YAL026C	DRS2	YML072C	TCB3	1.006062	0.05703	-0.309804	0.94513
YOL086C	ADH1	YPR073C	LTP1	1.006078	0.057032	1.198588	0.813567
YKL129C	MYO3	YOR063W	RPL3	1.006084	0.057032	-0.929412	0.382721
YDL208W	NHP2	YER029C	SMB1	1.006093	0.057033	-0.619608	0
YMR142C	RPL13B	YNL302C	RPS19B	1.006107	0.057035	0	2.012214
YAR050W	FLO1	YER023W	PRO3	1.006142	0.057039	2.012284	0
YNL135C	FPR1	YPL021W	ECM23	1.006142	0.057039	2.012284	0
YHR066W	SSF1	YPL198W	RPL7B	1.006155	0.05704	0.53116	0
YFL021W	GAT1	YJL076W	NET1	1.00624	0.057049	1.264345	0.748135
YAR010C	YAR010C	YIL154C	IMP2'	1.006277	0.057053	0	2.012555
YDR204W	COQ4	YER062C	HOR2	1.006277	0.057053	0	2.012555
YER062C	HOR2	YOL060C	MAM3	1.006277	0.057053	0	2.012555
YFL041W	FET5	YPL174C	NIP100	1.006277	0.057053	0	2.012555
YMR302C	YME2	YPL174C	NIP100	1.006277	0.057053	0	2.012555
YBL030C	PET9	YKL039W	PTM1	1.006299	0.057055	0	0
YDL083C	RPS16B	YGR281W	YOR1	1.006299	0.057055	0	0
YDL191W	RPL35A	YOR181W	LAS17	1.006299	0.057055	0	0
YEL002C	WBP1	YKL181W	PRS1	1.006299	0.057055	0	0
YGL238W	CSE1	YPL218W	SAR1	1.006299	0.057055	0	0
YGR034W	RPL26B	YGR281W	YOR1	1.006299	0.057055	0	0
YGR034W	RPL26B	YML130C	ERO1	1.006299	0.057055	0	0
YJL005W	CYR1	YPR100W	MRPL51	1.006299	0.057055	0	0
YJL033W	HCA4	YMR143W	RPS16A	1.006299	0.057055	0	0
YJL080C	SCP160	YKR057W	RPS21A	1.006299	0.057055	0	0
YML130C	ERO1	YMR143W	RPS16A	1.006299	0.057055	0	0
YGR280C	PXR1	YMR086W	YMR086W	1.006301	0.057056	-0.309804	2.322405
YDL131W	LYS21	YGL135W	RPL1B	1.006369	0.057063	-0.619608	3.472779
YDR447C	RPS17B	YOL051W	GAL11	1.006372	0.057063	-0.619608	0.55768
YLR129W	DIP2	YML063W	RPS1B	1.006374	0.057064	0	0
YNR031C	SSK2	YPL131W	RPL5	1.00642	0.057069	0	1.111688
YML056C	IMD4	YPL220W	RPL1A	1.006423	0.057069	-1.239216	1.709303
YDL065C	PEX19	YPL131W	RPL5	1.00645	0.057072	0	2.0129
YBL087C	RPL23A	YFL034C-A	RPL22B	1.006469	0.057074	0	2.012939
YLR264W	RPS28B	YOL040C	RPS15	1.006469	0.057074	0	2.012939
YDR299W	BFR2	YGL030W	RPL30	1.006505	0.057045	-0.619608	0
YGL030W	RPL30	YPR168W	NUT2	1.006505	0.057045	-0.619608	0
YBR189W	RPS9B	YMR143W	RPS16A	1.006518	0.057035	0	0
YDL191W	RPL35A	YLR448W	RPL6B	1.006518	0.057035	0	0
YGR085C	RPL11B	YHR148W	IMP3	1.006518	0.057035	0	0
YGR085C	RPL11B	YLR186W	EMG1	1.006518	0.057035	0	0
