Hugo_Symbol	expr.mean
IER2	0.075300755
AIFM1	-0.017063071
WWC2	-0.096682272
MRPL4	0.055577697
FLJ21062	0.031229969
EPB41L4A	-0.134157803
SH2D6	-0.022299512
TAF4B	0.101164077
GAL3ST3	-0.029624314
MALT1	0.035404029
RTDR1	0.137746192
ARVCF	0.010602671
MEX3B	0.030888775
FBXO16	-0.133006399
KIF7	0.00160649
C1QC	0.00743785
ZNF783	0.020547537
ZNF85	-0.015102834
MMP13	-0.246920475
KIAA0329	-0.035114128
RTP3	
ZBED3	-0.038653565
CLGN	-0.088829068
SLC25A37	0.100298673
hCG_18290	0.042171846
OR5AS1	-0.010841865
SMARCC2	-0.013788706
FAM109A	0.026541199
