ORF	GPL51-01 (GSM854) heat shock 05 min	GPL51-02 (GSM855) heat shock 10 min	GPL51-03 (GSM856) heat shock 15 min	GPL51-05 (GSM864) heat shock 20 min repeat	GPL51-06 (GSM865) heat shock 40 min	GPL51-07 (GSM868) heat shock 60 min	GPL51-08 (GSM872) heat shock 80 min
PRP22	0.0	0.0	0.0	0.0	0.0	0.0	0
GIP2	4.076	5.078	5.905	4.981	2.384	-1.686	0
PTC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YER134C	0.0	1.202	1.092	0.0	0.0	0.0	0.0
YER138C	0.0	0.0	0.0	0.0	0.0	0.0	0
BRR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
URB1	0.0	-1.144	-1.564	-1.326	-1.235	0.0	0.0
TPK3	0.0	-1.276	-1.288	-1.146	0.0	0.0	0.0
MST1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TOR2	0	0.0	0.0	0.0	0	0	0
DYN1	0	0.0	0.0	0.0	0	0	0
DPS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOR314W	0	0.0	0.0	0	0	0	0
YOR356W	0.0	0.0	0.0	0	0	0	0
FIT3	1.059	2.766	3.195	2.917	0	0	0
YPL009C	0.0	0.0	0.0	0	0	0	0
YTA6	0.0	0.0	0.0	0.0	0	0	0
NOG1	-2.729	-5.477	-5.671	-4.676	-1.947	0.0	0.0
PAI3	0	0	0	1.143	0.0	1.81	0
TMA20	0.0	0.0	0.0	0.0	0.0	0.0	0
YML058C-A	0	0.0	0	0.0	0.0	1.417	0
YMR324C	0	0	0.0	0.0	0.0	0	0
YIL082W-A	0.0	0.0	0.0	0.0	0.0	0.0	0
YHR214C-B	0.0	0.0	0.0	0.0	0.0	0.0	0
MRP10	0.0	0.0	0.0	0.0	0.0	0.0	0
PRP42	0	0.0	0.0	0.0	0.0	0.0	0
SEC26	0	0	0.0	0	0	0	0
AMD2	0	0.0	0.0	0	0	0	0
PEX5	0	1.219	0.0	0	0	0	0
PMP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LTE1	0	0	0	1.026	0	0	0
YAL065C	0.0	0.0	0.0	0.0	0	0	0
PEP1	0	-1.297	0.0	0.0	0	0.0	0.0
BOI1	0	0.0	0.0	0.0	0	0.0	0
ENA2	0.0	0.0	1.369	0	0	0.0	0
ARO1	0.0	0.0	0.0	0.0	0	0	0
NUD1	0	0.0	0.0	0	0	0	0
SWI1	0.0	0.0	0.0	0	0	0	0
TCO89	1.027	0.0	0.0	0	0	0	0
YPR115W	0	0.0	0.0	0	0	0	0
YPR147C	0.0	0.0	0.0	0.0	0.0	0	0
YCL021W	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SNX4	0.0	0	0.0	0.0	0.0	0.0	0
MHP1	0	0.0	0.0	0.0	0	0.0	0
MTR4	0.0	-2.039	-1.929	-2.328	0	0.0	0
NUP82	0.0	0.0	0.0	0.0	0.0	0.0	0
KHA1	0	0.0	0.0	0.0	0.0	0	0
YJL120W	0.0	0.0	0.0	0.0	0.0	0.0	0
GPB1	0.0	0.0	0.0	0.0	0	0.0	0
FRE5	0.0	0.0	0.0	0.0	0.0	0.0	0
TFC8	0.0	0.0	0.0	0.0	0.0	0.0	0
RAD1	0	0.0	0.0	0.0	0.0	0.0	0
SVL3	0.0	-1.089	-1.007	-1.03	0.0	0.0	0
YPL039W	0.0	0.0	0.0	0.0	-1.101	0.0	0
YCR001W	0.0	0	0	0	0	0	0
PMP1	0.0	0.0	0.0	-1.082	0.0	0.0	0.0
YDL228C	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OST4	0	0.0	0.0	0.0	0	0.0	0.0
COS7	0.0	1.093	1.178	0	0.0	0.0	0
KCS1	0	0.0	0.0	0.0	0	0	0
VPS8	0.0	0.0	0.0	0	0.0	0	0
PSK1	0.0	0.0	1.741	0	1.081	0.0	1.137
PMT2	0.0	0.0	0.0	0.0	0	0.0	0.0
POP5	0.0	0.0	-1.138	-1.303	-1.29	0.0	0.0
FLC2	0	0.0	0.0	0.0	0.0	0.0	0.0
FLO9	0	0	0.0	0	0	0	0.0
VMA21	0.0	0.0	-1.005	0.0	0.0	0.0	0
YGR107W	0	0	0.0	0.0	0	0	0.0
CLB6	0.0	-1.039	-3.006	-2.262	0.0	0.0	0
YGR111W	0.0	1.576	1.644	1.59	0.0	0.0	0
DAM1	0.0	0.0	0.0	0.0	0.0	0.0	0
YGR115C	0.0	0.0	0.0	0.0	0.0	0.0	0
YGR201C	0	1.538	1.901	1.414	1.628	0	0
YGR203W	0	0.0	0.0	0.0	0.0	0.0	0
YGR205W	1.265	1.671	2.025	2.006	1.138	0.0	0
YGR207C	0.0	1.499	0.0	1.132	0.0	1.179	1.425
TRX2	0.0	1.238	0.0	0.0	0.0	0.0	0.0
ZPR1	3.283	1.233	0.0	-1.089	-1.001	0.0	0.0
RPL14B	0.0	0.0	-1.795	-1.649	-1.447	0.0	0.0
LAG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YHL005C	0	0	0.0	0	0	0	0
STE20	0.0	-1.104	0.0	0.0	0.0	0.0	0.0
YAP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRS3	0.0	-2.117	-2.812	-2.597	-1.453	0.0	0.0
INM1	0.0	0.0	-1.166	0.0	0.0	0.0	0.0
YHK8	0.0	0	0.0	0	0	0	0
SMF2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CIC1	-2.449	-4.017	-4.458	-3.557	-2.438	0.0	0.0
YHR054C	0.0	0.0	0.0	0.0	0.0	0.0	1.02
RSC30	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL42B	0.0	-1.319	-2.388	-1.493	-1.288	0.0	0
YHR143BW	0	0	0.0	0.0	0	0	0
DCD1	0.0	-1.449	-1.697	-1.194	-1.189	0.0	0
CRP1	0.0	0.0	0.0	0.0	0.0	0.0	0
IMP3	-1.14	-1.476	-3.262	-2.062	-1.076	0.0	0
PEX28	0	0	0	0	0	0	0
VID28	0.0	0.0	1.442	1.149	0.0	0.0	0
FAF1	0.0	-2.367	-4.725	-4.109	-1.804	0.0	0
