Bait,Prey,UniProt,HEKScore,JurkatScore,Score
GP41,PHB2,Q99623,0.835,0.759,0.797
GP41,ENDOD1,O94919,0.77,0.815,0.792
GP41,VDAC2,P45880,0.915,0.633,0.774
GP41,FLOT1,O75955,0.77,0.771,0.77
GP41,COX4I1,P13073,0.764,0.64,0.702
GP41,PDIA3,P30101,0.806,0.441,0.624
GP41,PTPLAD1,Q9P035,0.199,0.809,0.504
GP41,PGRMC1,O00264,0.243,0.764,0.503
GP41,VCP,P55072,0.846,0.111,0.478
GP41,STOML2,Q9UJZ1,0.893,0,0.447
GP41,VDAC3,Q9Y277,0.89,0,0.445
GP41,PRKCSH,P14314,0,0.886,0.443
GP41,SPAG5,Q96R06,0,0.867,0.434
GP41,TIMM8A,O60220,0,0.861,0.431
GP41,LMAN2,Q12907,0.86,0,0.43
GP41,CKAP4,Q07065,0.855,0,0.428
GP41,COX6B1,P14854,0.849,0,0.425
GP41,VAPA,Q9P0L0,0,0.844,0.422
GP41,SPCS3,P61009,0,0.831,0.416
GP41,SURF4,O15260,0,0.82,0.41
GP41,TIMM8B,Q9Y5J9,0,0.813,0.407
GP41,PIP4K2A,P48426,0,0.81,0.405
GP41,TMEM38B,Q9NVV0,0,0.81,0.405
GP41,KIAA0090,Q8N766,0,0.808,0.404
GP41,PLSCR1,O15162,0.805,0,0.403
GP41,RHOC,P08134,0,0.807,0.403
GP41,MMGT1,Q8N4V1,0.797,0,0.399
GP41,PRDX4,Q13162,0.79,0,0.395
GP41,RABGAP1,Q9Y3P9,0,0.791,0.395
GP41,BCAP31,P51572,0,0.789,0.394
GP41,TXNDC5,Q8NBS9,0.781,0,0.39
GP41,SPCS2,Q15005,0,0.778,0.389
GP41,KIAA2013,Q8IYS2,0.778,0,0.389
GP41,NDUFB10,O96000,0.776,0,0.388
GP41,ATL3,Q6DD88,0,0.774,0.387
GP41,COX5A,P20674,0.775,0,0.387
GP41,FBXO6,Q9NRD1,0.772,0,0.386
GP41,VTI1A,Q96AJ9,0,0.768,0.384
GP41,TOMM40,O96008,0.762,0,0.381
GP41,GLG1,Q92896,0,0.762,0.381
GP41,NGLY1,Q96IV0,0,0.756,0.378
GP41,SEC62,Q99442,0,0.751,0.376
GP41,RER1,O15258,0,0.753,0.376
